date	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0
2	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	4.5	2.5
4	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	1	0	6.5	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	2	0	0
6	0	1	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	0	9	0	0
7	0	1	0	0	0	0	0	1	0	0	0	0	0	14.5	0	0	0	0	0	0	2	0	0	0	0
8	0	6	1	0	8.5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	11.5	0	0	0	0
9	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5	0	0	0
12	0	0.5	0	0	0.5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	15	0	1	0
13	0	0.5	0	0	8	0	0	0	0	0	0	0	0	0	0	10.5	0	0	0.5	0	0	0	1	9.5	0
14	0	0	0	0.5	1	0	0	0	65	0	0	0	0	0	0	0	0	0	0.5	0	0	0	1	0	0
15	3	1	0	1.5	0	0	0	8	47.5	1	0	0	7.5	0	0	0	0	0	0	0	0	0	1.5	0	0
16	1	0	0	5.5	0	0	0	9	0	0.5	0	0	0	0	3	0	0	0	0	0	0	0	13	0	0
17	0	0	0	0	0	0	3.5	0	21.5	0.5	0	0	0	0	0	0	0	12	0.5	0	0	0	0	0	0
18	0	0	2	4	0	0	11	0	0	0	0.5	0	0.5	0	0	0	0	8.5	0	0	0	0	0	0	0
19	5.5	1.5	9.5	0.5	0	0	0	0	0	0.5	0	0	0	0	2	0	0	21	0	0	0	0	0	0	0
20	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
21	1	0	0	4	0.5	0	0	0	0	0	0	0	0	0	1	0	0	1.5	0	0	0	7.5	0	0	0
22	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.5	0	6.5	0	0	0	0	0	2	0	0
23	3.5	0	0	0.5	0	0	0	0	1.5	1.5	0	0	0	0	0.5	0	0.5	0	0	0	0	0	8	0	0
24	0	0	8	1.5	3	0	0	12.5	2	0.5	3.5	0	0	0	0	0	0	0	0	0	0	0	7.5	0	0
25	3	0	0	0	8.5	0	0	0	2	0.5	10	6	0	0	0	0	0	0	3.5	0	5	0	1.5	0	0
26	0	0	0	0	0.5	0	0	0	0.5	0.5	4	39.5	1.5	0	0	0	0	0	12	0	0	0	0	0	0
27	0	0	0	0	0	2.5	0	0	0	0	0	0.5	11.5	10	0	0	0	2	0	0	0	0	0	0	0
28	0	14.5	0	0	0	3.5	0	0	0	0	0	15.5	3.5	0	0	0	4.5	0	0	0	0	0	0	0	0
29	0	0	0	0	0.5	0	0	0	0	0	0	4	0	0	0	0	7	0	0.5	0	0	0	0	0	0
