date	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0
31	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	0.5	2	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	0	0.5	0	0	0	0	0	2.5	0	0	0	3	1.5	0	0.5	0	0	0	0.5	0	0	0	0	0	0
34	0	0	0	0	0	0	0	15	0	0	0	0	0	0	3	0	0	0	11.5	0	0	0	0	0.5	0
35	0	0	0	0	0	0	0	15	3.5	0	0	0	0	0.5	10.5	0	0	0	1.5	0	0	0	0	0	3
36	0	0	0	0	0	0	0	0	20.5	0	0	0	0	0	24.5	0	0	0	3.5	0	0	0	0	0	3.5
37	0	0	0	0	0	0	0	0	16.5	0	0	0	0	0	3	0	0	0	0	0	3.5	0	0	0	0
38	0	0	9	0.5	0	0	0	9	7	0	0	0	0	0	4	0	0	0	1.5	0	2	0	15	0	0
39	0	0	0	0	0	0	0	6	0	0	0	0	0	17	27	0	0	0	0	0	0	0	9	0	0
40	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	13.5	0	0	0.5	0	0	0	0	0	0	8.5
41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5
42	0	0	38.5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
43	0	0	9.5	0	12.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
44	0	0	17	0	5.5	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0.5	4.5	4	0	0	2
45	0	0.5	0.5	0	6.5	13.5	0	0	17.5	0	0	0	0	0	0	0	0	0	0	0	0	3.5	0	0	1
46	0	12	36	0	3.5	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	1	0.5	0	0	0.5
47	0	0.5	3.5	0	21.5	0.5	0	9	0	0	0	0	0	0	0	0	0	0	0	0	12.5	0	0	0	0.5
48	0	0	2.5	0	20	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	22	0.5	0	0	0
49	0	0	0	0	14.5	0	0.5	4.5	46	0	0	0	0	0	0	65	0	0	0	0	19.5	0	0	0	0
50	5.5	0	11.5	0	26	1	7.5	0	90	0	0	0	0	0	0	16.5	0	0	0	0	38	1	0	0	8
51	0	2.5	11	0	0.5	9	1	0	68.5	2.5	20.5	0	0	0	0	14.5	0	0	0	3	0	7.5	0	0	0
52	0	0	0	0	0	25	0.5	0	3.5	0	69.5	0	0	0	0	4	0	0.5	0	0	0	0	0	0	0
53	0	0	5	0	0	27	1	0	22.5	0	2	0	0	0	0	1	0	9.5	0	0	1	0	0	0	0
54	2.5	0	3.5	0	0	0	0.5	0	32.5	0	77	0	0	0	0	0	0	0	5.5	0	0	0	28	0	0
55	10.5	0	0	0	0	0	1.5	0	14.5	0	0	0	0	0	0	0	0	0	0.5	0	0	1	10	0	0
56	20	0	0	0	0	1	2	0	0	0	33	0	0	0	0	28	0	13	0	0	0	0	11	0	0
57	11	0	0	0.5	7	0	18	0	18	0	0	0	0	0	0	11	11.5	0	0	0	0	0	3.5	0	0
58	0.5	0	0	0	4.5	0.5	0	0	11	0	0.5	0	0	0	0	6.5	0	0	0	0	0	0	3	0	0
59	7	0	0	0	1	0	0	0	10	0	1	0	0	0	0	17.5	5	0	0	0	0	0	18.5	0	0
60	0	0	0	0.5	0	18.5	0	0	0.5	0	0	0	0	0	0	5.5	7.5	0	0	0	0	0	0	0	0
61	1.5	0	0	0	0	19.5	0	0	1	0	1.5	0	0	0	0	35.5	0	0	0	0	0	0	0	0	0
62	4.5	0	6	0.5	6.5	0.5	0	0	0	0	1	0	0	0	3.5	31	0	0	0	0	0	0	0	0	0
63	13.5	3.5	0.5	2.5	0	0	0	0	18	0	0	0	0	0	11.5	0.5	0	0	0	0	0	0	0	0.5	0.5
64	4	0	9.5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3.5	0	10	0	0	0	0	3
65	3.5	0	27.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	8	0	42	0	0	0	0	0
66	0	0	10.5	0	0	0	0	0	0	0	0	0	0	8.5	2.5	0	0	13	0	37	0	5	0	0	0
67	0	0	18	0	17	0	0	0	0	0	0	4.5	0	0	0	0	0	0.5	0	8	0	0	0	0	4
68	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2.5	8	0	0	0	0
69	0	0	8	0	9	0	4	0	72.5	0	0	0	0	7.5	0	0	0	0	0	0	0	0	0.5	0	0
70	0	0	15	0	0	0	28.5	0	12.5	3	0	0	0	0	0	1.5	0	0	1	0	0	0	1	0	0
71	0	0	10.5	0	2.5	0	0.5	0	13	2	10.5	0.5	0	0.5	0	16	0	0	0	0	0	0	11	0	12
72	0	0	0	0	0.5	1	3.5	0	0	9.5	5.5	0	0	0	0	9	0.5	0	0	0.5	7.5	0	11.5	0	5
73	0	0	0	0.5	0	5.5	0	0	0	5.5	16.5	0	0	0	0	0.5	0.5	0	0	0	0	0	0.5	0	0
74	0	0	0	23.5	0	0	0	0	2	4.5	0	1.5	0	0	0	0	0	0	1.5	0	0	0	0	0	0
75	0	0	0	29.5	0	0	0	0	4.5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	0	0	0	23.5	0	0.5	0	0	6	23.5	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0
77	0.5	5	0	33.5	1	15.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	2	0
78	0	0	0	2	14.5	0	0	1	0	4.5	0	0	0	0	0	0	0	9.5	0	0	0	2	0	0	0
79	0	0	0	0	0	1.5	0	0.5	0	0	0	0	0	5	0	0	5.5	0	1	0	0	0	0	0	0.5
80	0	0	0	0	0	0	0	92.5	0	3.5	0	0	0	3.5	0	0	0	0	0	0	0	0	0	4.5	2
81	0	2.5	0	0	6	0	0	79.5	0	12	0	0	0	0	0	0	5	0	0	0.5	0	0	0	0	0
82	0	0.5	0	0	0.5	0	0	24.5	0	0	0	0	0	0	0	11	4	0	1	1.5	0	0	0	0	0
83	0	0	0	0	0	0	0	0.5	0	0	0	0	0	5	0	0	16	0.5	11.5	14.5	13	0	0	1	0
84	0	0	0	0	0	0.5	0	0.5	0	0	0	9	0	0	1	0	4.5	31.5	0	0	1.5	0	0	0	0
85	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	30.5	0	0	0	0	0	0	1.5	0
86	0	0	0	0	0	0	0	0	0	0	0	27.5	0	0	8	4.5	22	21	1	0	0	10.5	0	13.5	0
87	0	0	0	0	0	0	0	0	0	0	0	1.5	0	2	18.5	6	0.5	0.5	0	0	0	8.5	0	12.5	1
88	0	0	5.5	3.5	0	0	0	14.5	0	0	0	0	1	0	0.5	17	0	0	0	17	0	0	0	0.5	0
89	0	0	10	2	0	8.5	8	0	0	0	0	0	0.5	0	0	37.5	0	0	0	0	0	0	0	0	0
90	0.5	7.5	1.5	0	0	4	0	0	0	0	0	0	3	0	20.5	22	0	0	0	0	0	0	0	0.5	16.5
91	7	0.5	10	2.1	4.5	19	2	0	0	0	0	0	1	1.5	0.5	0	0	0	14	0	0	0	0	8.5	0
92	0	0	31.5	2.1	0	10.5	3.5	0	0	0	66.5	0	0	0	4	5	0	14	15.5	0	0	0	0	3.5	7
93	0	0	8	3	0	2.5	17	0	0	0	0	0	0	10	0	0	0	8.5	0	0	2	0	0	7	2.5
94	0	0	21	3.7	0	3.5	29	0	0	0	4	10.5	0	40.5	32.5	0	0	21	0	0	0	0	0	10	0
95	0	0	10	2.4	0	0	1.5	0	0	0	6	5	0	0	0	0	1	0	0	0	6	0	0	157	0
96	0	36	0	2	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	7.5	0	0	2.5	0
97	0	1.5	12	3	0	15	0	0	0	0	0	15.5	0	4.5	0	0	0	0	0	7	0	0	18.5	0	0
98	0	0.5	0	1.7	0	0	17.5	0	0	0	0	28	0	27	0	0	0	6	0	0	42.5	0.5	0	0	0.5
99	0	0	0	1.8	0	0	0	0	5.5	0	0	0	0	44.5	4.5	0	0	0.5	0	0	12.5	0	0	16.5	0
100	17	0	1	2.7	0	0	0	8	0	0	0	6.5	0	5	0	0	58	15.5	0	0	0	0	0	0.5	0
101	9.5	0	5	2.3	0	0	15	0	46.5	0	0	20.5	0	0.5	0	0	16	1	0	0	0	0	0	2.5	0
102	64.5	0	60.5	2.9	0	0	0	0	8	34.5	0	0	1	0	0	7.5	0	0	1.5	0	0	0	0	7	0
103	0	0	40	2.5	0	0	0.5	0	12	0	0	0	0	0	0	3.5	8	0	0	23	0	0	0	1	0
104	1.5	0	0.5	2.3	9	0	0	1	52	0	0	0	0	7.5	0	0	4	0	0	13	0	0	0	13	0
105	22.5	0	0	2.8	0	0	0	4.5	0	0	0	0	0	4	0	0	32.5	0	0	0.5	18.5	0	0	0.5	0
106	98	0	0	2.8	0	0	10	0	0	0	7.5	0	0	0	26	0	2.5	0	0	0	0.5	0	0	0	0
107	31.5	0	0	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0
108	20	0	0	2.1	0	0	0	0	0	0	0	15.5	0	0	0	0	0	23	2	0	0	1	11.5	0.5	0
109	130.5	0	0	2.2	0	0	0	0	0.5	0	0	8	0	0	11	0	0	6	0	0	0	0	19	1	0
110	12	0	7.5	2.3	0	0	15	0	14.5	0	0	25.5	0	0	0	0	0	0	0	41	0	0	0	4	0
111	2	0	0	1.8	0	0	40	0	1.5	0	0	19.5	0	0	0	0	0	0	0	3.5	0	0	2.5	1.5	0
112	11.5	0	0	1.8	0	0	0.5	0	0	0	0	2	0	0	0	0	0	0	6.5	13	0	0	4	0	0
113	40	0	43	3	0	0	22.5	0	0	0	18	0	0	0	0	0	0	8.5	0	0	22	0	5.5	0	0
114	43.5	1.5	0	3.9	0	0	0	0	0	0	36.5	0	0	0	0	0	2.5	3.5	0	0	0.5	0	0.5	0	0
115	1	0	28	3	0	0	0	0	13	0	15	0.5	0	0	0	0	0	0	0	0	0	0	0	11	0
116	11	0	0	1.8	0	0	0	0	17.5	0	5	0	0	0	0	45.5	16	0	0	0.5	0	0	7.5	5	0.5
117	0	0	0.5	1.8	0	0	0	0	10.5	0	0	0	0	0	0	0	4.5	0	0	0	0	0	7.5	7.5	0
118	0	0	0	2.6	1	0	0	0	0.5	0	9	0	0	0	22.5	10	10	0	0	0	2.5	0	17.5	13	0
119	0	0	0	2.9	1.5	0	0	0	1	0	53	0	0	0	0	0	14	0	4.5	0	4	1.5	6	0	0
120	0	7	0	2.8	0	0	0	0	0.5	4	6	0	0	0	0	0	7.5	3.5	0	0	9.5	0.5	2	0	2
121	0	28	0	62	0.5	0	0	0.5	0	3	0.5	0.5	0	0	0	0	0	0	0	0	0	0	21.5	20.5	12.5
122	0	6	0	0	0.5	0	1	16	0	6.5	0.5	0	0	0	0	0	39	0	4.5	0	0	0	0	0.5	0
123	0	6.5	0	19.5	138	0	0	0	35.5	6.5	16	2	0	0	0	0	0	0	0	0	0	0	0	7	0.5
124	0	0	0	4.5	86.5	0	0	0	2.5	0	0	0	0	35.5	0	0	1.5	0.5	0	0	0	0	3.5	0	1.5
125	5	0	0	62.5	6.5	0	3	0	0	21	9.5	0	0	0.5	0	0	0	40.5	0	0	0	0	7.5	0	33.5
126	0	0	0	0	0	0	54	9.5	0	5.5	0	0	0	0	0	25.5	0	14	31	0	0	0	0.5	0	14
127	0	0	0	0	0	0	27.5	8	0	31	0	1	0	0	0	0	0	0	1.5	0	1	0	0	0	12.5
128	0	0	0	2.5	0	0	62.5	0	0	1.5	0	7	0	7	0	5.5	0	0	0	0	2	0	0	0	0.5
129	0	0	15.5	0	0	0.5	68	0	0	23.5	0	4.5	0.5	0	0	11.5	0	0	0	0	3	0	0	0	2
130	0	0	26	0	0	0	21.5	8	0	5	0	20.5	0	0	0.5	58.5	0	0	0	0	0	0	0	0	0.5
131	0.5	0	0.5	0	45	0	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	2	0
132	0	0	0	0	0	0	1.5	0	6.5	0	0	0	0	0	0	181.5	0	0	0	0	0	3.5	0.5	23	2.5
133	0	0	0	0	0	4.5	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	3	0	26.5	16.5
134	0	0	0	0	0	0	0	0	15.5	0	0	0	0	0	0	6	0	0	0	0	0	0.5	0	0	0
135	0	0	0	0	0	0	0	0	35.5	0	0	0	0.5	13	0	53.5	0	0	0	0	3	0	0	0	124.5
136	0	0	0	0	0	21	0	0	0	0	0	0	0	0.5	0	0.5	4	0	0	0	0	27	0	5.5	17.5
137	1.5	0	0	0	6.5	39.5	0	88.5	28.5	0	0	0	24.5	28.5	0	0	27.5	0.5	0	0	0	17	18	66.5	0
138	2	0	11	0	15.5	7.5	0	3	16	0	0	13.5	0	24	2	0	5	8.5	0	0	0	0.5	33.5	1	33.5
139	33.5	0	19	0	0	0	0	60	35.5	11	0	43.5	0	0.5	0	0	0	11	0	0	0	21.5	83	54.5	104
140	0	0	3	0	0	0	0	0	2	0	3.5	55.5	16	0	0	0	0	29.5	9.5	0	0	0	7.5	52.5	41.5
141	0	0	0	0	0	0.5	0	0.5	0	0	0.5	0	4	0	28	0	0	1.5	0.5	0	0	1	22	31.5	22
142	0	0	0	0	0	5.5	47.5	0	0	0	0	43.5	31.5	0	32	0	16.5	35	2.5	0	0	22.5	0	19	0
143	0	0	22	0	0	20.5	7.5	22	0	0	0	3.5	36.5	0	2.5	0	16	20.5	20.5	0	114	29	0	17.5	7
144	1.5	0	2	0	0	0	0	0.5	0	0	0	0	0	0	0	22	0.5	0	0	0	0	0	0	0	0
145	0	0	0	5.5	0	0	0	0	3.5	0.5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
146	0	0	0	41.5	0	0	0	0	0.5	1.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
147	0	0	1	173	2	0	0	0	15.5	113.5	1	0	0	0	0	0	0	0	21.5	19	0	0.5	0	0	9
148	0	0	0	10.5	15	0	34.5	0	0	61.5	1	3	0	0	1	0	42.5	0.5	0	0	0	0	3	0	4.5
149	0	0	0	0	0	0	8.5	0	0	0	2	38.5	0	0	0	0	36	0	0	0	23	0	63.5	0	40
150	0	0	0	0	0	0	46.5	0	0	7.5	4	9	0.5	0	35.5	0	15.5	1.5	123	0	1.5	0	17.5	0	0
151	0	0	0	1	0.5	0	0.5	0	0	0.5	0	8.5	74	0	0.5	0.5	33.5	0	5.5	0	0	0	0	0	0
152	0	0	7	17	7.5	0	0	0	22.5	0	0	0	6.5	0	0.5	0	14.5	11	43.5	0	0	0	0	0	
153	0	0	70	43.5	0	0	0	26.5	3	0	0	20.5	0	0	0	4.5	150.5	0	0.5	0	3	7	0	0	
154	60	0	0	17	0	0	0	14	8.5	0	0	1.5	0	0	0	36	52	56.5	54	5.5	3	0	0	0	
155	20	0	0	3	4	0	0	52.5	64	0	0	7.5	0	0	0	0	0.5	69.5	15.5	95	0	0	0	6.5	
156	0	0	0	59	0	0	0	0.5	71.5	0	0	5.5	0	0	0	0	2	49.5	15	3.5	0	0	0	0.5	
157	0	0	0.5	11.5	16.5	0	0	6.5	32	2.5	1	5.5	49.5	0	0	0	3.5	18.5	2.5	0	0	0	0	0	
158	0.5	0	0	74	10.5	0.5	0	16	99.5	5.5	18	0	0	128.5	0	0	3	69	15	0	0	0	0	0	
159	18	1	1.5	3	1	88	0	0	46	2.5	13	0	0	2.5	0	0	29.5	121.5	1.5	0	0	0	0	0	
160	80	1.5	33.5	6.5	0	186.5	9	8	62.5	0	0	3	37.5	0.5	0.5	0	214	53	0	0	0	0	2	2.5	
161	58.5	0	17.5	3.5	0	77.5	0	23.5	11.5	0	0	0	0.5	6.5	0	3	115.5	39.5	0	0	26	14	19	13	
162	0	0	2.5	45.5	0	0	0	95.5	27	0	0	0	18	16	0	0	9	1.5	0	53.5	40	0	65	1.5	
163	0	0	0	0	0	0.5	0	46	0.5	0	1.5	0	8	102	0	11	7.5	6	0	7.5	92.5	1	6.5	34	
164	0	0	0	0	3.5	0	0	2.5	0	0.5	46	7.5	2	23	0	0	24.5	0	8	37	56.5	0.5	34	1.5	
165	0	0	0	0	0	29	0	83.5	0	0	78.5	60	0	0	0	100	0	0	3	28	65	0	15	9	
166	0	0	0	0	0	1.5	59	22.5	0	0	2	2	0	0	0	167.5	0	20	63	0.5	2	0	37	0.5	
167	1.5	0	0	0.5	0	0	0	13	0	0	5	1	0	0	0	65	0	30.5	0.5	0	0	0	5	0	
168	8.5	1	3.5	16	1	0	26.5	0	1	5	1	0	0	0	0	5.5	0	1	1.5	0	2	0	0.5	0	
169	38	9.5	0	0	83.5	0	0	0	2	2.5	12	0.5	6	15.5	0	0	0	0	0	0	0	0	0	0	
170	1.5	0	19.5	0	10	0	0	0	0	39.5	3.5	11	0	0	0	0	36	0	7	0	0	0	4	0	
171	0	0.5	0	0	38	0	0	0	0.5	49	8.5	16.5	0	0	0	0	4	0	0	2.5	0	0	22.5	0	
172	0	14	0	0	0	0	0	63	0	20.5	1.5	0	0	0	4.5	1	0	0	0	10	25	2	54	1.5	
173	0	71.5	0	0	5	0	54	25	11	10.5	0	0	0	13.5	25.5	0	0.5	0	0	99.5	9	0	25.5	0	
174	70.5	46.5	0	0	0	0	0	34	9	0	0	13	0	0	1	32	0	61.5	0	0	17	0	0.5	0	
175	55.5	113	0	0	0	0	0	29.5	0	0	0	0	0	0	0	12	0	0	0	0	16	0.5	0	0.5	
176	0	18.5	0	31	0	0	0	0.5	1	0	0	40.5	0	0	0	2	3	0	0	0	35	20	0	10	
177	1	65	0	0	1	0	9	8	40.5	0	9.5	41.5	0	7	0.5	0	0	27	0	10.5	0.5	14	0	0	
178	0	0	0	0	0	0	16	0	0	0	0	0	0.5	0	0	25	28.5	0	0	0	54.5	97	0	0	
179	0	0	0	0	35.5	9.5	21.5	3.5	1.5	0	0	4.5	0	0	0	8.5	0	0	1	0	18.5	1	0	0	
180	1.5	0	0	0	0	0	8	46	0	0.5	0	0	0	0	0	2	0	24.5	0.5	0	0	84	0	0	
181	2.5	10.5	7.5	0	0	0	1	3	5	0.5	0	0	0	0	0	0	0	11	18.5	0	0	0.5	0	0	
182	0	0	0	0	0	94.5	0	61	38.5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
183	0	0	0	0	0	0	0	14	0	0	0	0	0	5	0	0	0	1.5	0	0	0	0	0	32	
184	8	0	0	0	0	0	0	3.5	1	5.5	0	0	3.5	0	198.5	0	0	0	0	2.5	0	0	0	1	
185	0.5	0	0.5	0	25.5	2	0	0	0	43	0	0	5.5	0	279	0	0	0	0	9.5	0	0	0	12	
186	0	0	20.5	0	5	0	4.5	1.5	48.5	9.5	1.5	0	0	0	66.5	0	0	0	0	0	0	0	0	1.5	
187	0	0	11.5	0	0	0	0	4.5	0	0.5	0	0	65	0	77	0	0	0	0	0	0	0	0	15	
188	0	0	51.5	0	0.5	0	0	14.5	15	0	0	24.5	11	0	3	0	0	0	82	0	0	0	9.5	52.5	
189	0	0	143	0	0	0	0	2.5	0	39	9	2.5	33.5	3.5	0	0	5	0	20.5	0	0	0	0	0	
190	0	0	20	0	0	68.5	0	0	0	1	0.5	20.5	3	20.5	9	0	141.5	3.5	17.5	0	0	0	0	64.5	
191	0	-	5	0.5	12	102	0	0	0.5	37	23.5	0	80.5	12	0	0	0.5	0.5	37	0	0	0	0	0	
192	0	0	0	65	37.5	0	0	0	1.5	33	44	11	10	2	0	0	1.5	0	30	0	0	120	0	0	
193	0	68.5	0	0	16.5	69.5	0	0	1	11	0	1.5	7	0	0	0	0	0	27	0	28.5	2	0	0	
194	7	18	0	9.5	46.5	51.5	0	0	0	0	0	0	0.5	0	0	0	37	0	1	5.5	69.5	35.5	0	271	
195	30.5	0	0	0	0	0	0	0.5	0	0	0	1.5	1.5	0	0	0	111	0	0	74.5	1	6	0	3.5	
196	0	1	0	0	0	2.5	0	13.5	0	0	0	3	0	0	0	0	35.5	2.5	0	0	0	0	0	85	
197	0	0	0	0	0	0	0	5	0	24	0	4	1	0	21	0	0	4	0	0	0	2.5	0	0	
198	0	1.5	0	0	0.5	0	6.5	2	0	1	112.5	30.5	29	0	42.5	12	4.5	0	0	0	0	2	39	20	
199	1	0	34	0	0	0	5	28.5	0	0.5	1.5	13	21.5	0	6	8	0	0	11	0	0	18.5	0	5	
200	10	2	4	4.5	0	0	0	2	0	16.5	3.5	5.5	0	1.5	85.5	208	0	0	300.5	0	0.5	41	0	0	
201	0	10	0	0	0	0	0	0	0	13.5	74	0	0	0	45.5	37.5	0	0	47	0	0	9.5	0	0	
202	5	4.5	0	0	0	0	0	0	0	28	0	0	0	0	0	12.5	0	0	0	0.5	51	7	0	0	
203	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.5	0	0	0	0	2	0	66	0	
204	0	0	0	0	0	4	9	0	0	0	0	0	0	0	3.5	0	0	0	0	0	2	0	4	0	
205	0	81	0	0	0	13	0	0	0	0	0	0	0	3	7	0	0	3	0	5	0	0	20	22.5	
206	0	0	2	0	32	66	0	0	0	27.5	0	50	0	9.5	0.5	0	7.5	0	0	0	75	0	24.5	11	
207	0	0.5	23.5	0	98.5	36.5	0.5	0	0	0	0	0.5	8	0	0	0	3.5	0	0	0.5	16	0	3	15	
208	0	0	0	0	0	0	0	0	0	3	0	0.5	1.5	0	0	0	4.5	0	0	0	106	0	43	3	
209	12.5	2	0	0	0	0	10.5	0	24	43	5.5	0	2	0	48	0	5	2	0	0.5	101	1	34.5	0	
210	1	7.5	0	0	0	0	14	0	2	0	0	0	10	0	44	0	0	4	94	0	0	6.5	0	0	
211	2	60	0	11.5	0	17.5	0	0	0	10	9.5	214	0	0	0	0	0	36	26	0	1.5	0	0	10	
212	13.5	15	2.5	34.5	15	5	6	0	0	67	18	0	0	0	0	0	0	0	0	0	0	0	0	35.5	
213	3.5	0	0	0	2	1.5	180	4	0	0	11.5	8.5	0	0	0	0	0.5	0	3.5	0	0	0	12	1.5	
214	6.5	0	0	0	0	15	35	0	0	0	17.5	5.5	0	0	0	0	14	0	0	0	0	0	3	0.5	
215	44	0	0	0	12	13.5	0	10.5	0	42	60.5	0	0	0	5.2	0	5	14.5	0	6	0	0	441	0	
216	93.5	0	0	0	37	1	57	0	71.5	49.5	1.5	0	84.5	8	24.2	90.5	0	4	0	56	0	0	7.5	0	
217	8	0	0	0	1	0	22	0	19	14.5	8.5	0	8	1	0	30.5	0	0	0	9.5	21	0	0	0	
218	0	0	12	0	0	0	1.5	0	0	1	41	0	34.5	0	3.8	1	0	0	31.5	159.5	0	12.5	0	0	
219	0	0	0	0	1.5	0	0	92.5	0.5	56.5	0	0	3.5	0	0.2	18.5	0.5	4.5	12	9.5	2.5	0	0	2.5	
220	0	0	0	0	159	0	18	14.5	0	0	0	0	0	0	0	27	64.5	2.5	0	34	1	24	36	0	
221	0	1.5	15	15.5	31.5	0	0	20.5	0	31	0	0	0	0	0	0	3.5	0	1	346.5	0	1	0	0	
222	0	19.5	0	13.5	66	2	47	13	49.5	35	0	17.5	38.5	0	0	0	4.5	13.5	0	15.5	0	118.5	0	0	
223	0	81.5	3	37.5	43	0	1	19	11.5	28.5	0	37	2	19.5	0	0	0	60	10	0.5	29	26.5	0	0	
224	0	0	16	2.5	16.5	17.5	0	2	0	40.5	0	34.5	0	26.5	34.1	11.5	0	57	8	0.5	3	0.5	0.5	0	
225	0	0	0	0	0	1.5	9	0	1	0.5	92	0	0	0	12.8	7	0	75.5	0	0.5	0	0	0	1.5	
226	0	0	0.5	21	2.5	0	4	35.5	41.5	0	7.5	0	0	8.5	0	0	0	5.5	0	0	18	0	0	44.5	
227	0	0	7	0.5	1	48.5	5	32.5	0	0	2	0	0	119	9.9	70.5	0	0	0	0.5	0	0	0	10.5	
228	0	0.5	3.5	0	0	0	15	1.5	0	0	17	1	0	0	0	0	0	1	0	0	0	4	0	0.5	
