Wed Mar 28 1990 00:00:00 GMT+0800 (CST)	0
Thu Mar 29 1990 00:00:00 GMT+0800 (CST)	0
Fri Mar 30 1990 00:00:00 GMT+0800 (CST)	0
Sat Mar 31 1990 00:00:00 GMT+0800 (CST)	0.5
Sun Apr 01 1990 00:00:00 GMT+0800 (CST)	7
Mon Apr 02 1990 00:00:00 GMT+0800 (CST)	0
Tue Apr 03 1990 00:00:00 GMT+0800 (CST)	0
Wed Apr 04 1990 00:00:00 GMT+0800 (CST)	0
Thu Apr 05 1990 00:00:00 GMT+0800 (CST)	0
Fri Apr 06 1990 00:00:00 GMT+0800 (CST)	0
Sat Apr 07 1990 00:00:00 GMT+0800 (CST)	0
Sun Apr 08 1990 00:00:00 GMT+0800 (CST)	0
Mon Apr 09 1990 00:00:00 GMT+0800 (CST)	0
Tue Apr 10 1990 00:00:00 GMT+0800 (CST)	17
Wed Apr 11 1990 00:00:00 GMT+0800 (CST)	9.5
Thu Apr 12 1990 00:00:00 GMT+0800 (CST)	64.5
Fri Apr 13 1990 00:00:00 GMT+0800 (CST)	0
Sat Apr 14 1990 00:00:00 GMT+0800 (CST)	1.5
Sun Apr 15 1990 00:00:00 GMT+0800 (CST)	22.5
Mon Apr 16 1990 00:00:00 GMT+0800 (CST)	98
Tue Apr 17 1990 00:00:00 GMT+0800 (CST)	31.5
Wed Apr 18 1990 00:00:00 GMT+0800 (CST)	20
Thu Apr 19 1990 00:00:00 GMT+0800 (CST)	130.5
Fri Apr 20 1990 00:00:00 GMT+0800 (CST)	12
Sat Apr 21 1990 00:00:00 GMT+0800 (CST)	2
Sun Apr 22 1990 00:00:00 GMT+0800 (CST)	11.5
Mon Apr 23 1990 00:00:00 GMT+0800 (CST)	40
Tue Apr 24 1990 00:00:00 GMT+0800 (CST)	43.5
Wed Apr 25 1990 00:00:00 GMT+0800 (CST)	1
Thu Apr 26 1990 00:00:00 GMT+0800 (CST)	11
Fri Apr 27 1990 00:00:00 GMT+0800 (CST)	0
Sat Apr 28 1990 00:00:00 GMT+0800 (CST)	0
Sun Apr 29 1990 00:00:00 GMT+0800 (CST)	0
Mon Apr 30 1990 00:00:00 GMT+0800 (CST)	0
Tue May 01 1990 00:00:00 GMT+0800 (CST)	0
Wed May 02 1990 00:00:00 GMT+0800 (CST)	0
Thu May 03 1990 00:00:00 GMT+0800 (CST)	0
Fri May 04 1990 00:00:00 GMT+0800 (CST)	0
Sat May 05 1990 00:00:00 GMT+0800 (CST)	5
Sun May 06 1990 00:00:00 GMT+0800 (CST)	0
Mon May 07 1990 00:00:00 GMT+0800 (CST)	0
Tue May 08 1990 00:00:00 GMT+0800 (CST)	0
Wed May 09 1990 00:00:00 GMT+0800 (CST)	0
Thu May 10 1990 00:00:00 GMT+0800 (CST)	0
Fri May 11 1990 00:00:00 GMT+0800 (CST)	0.5
Sat May 12 1990 00:00:00 GMT+0800 (CST)	0
Sun May 13 1990 00:00:00 GMT+0800 (CST)	0
Mon May 14 1990 00:00:00 GMT+0800 (CST)	0
Tue May 15 1990 00:00:00 GMT+0800 (CST)	0
Wed May 16 1990 00:00:00 GMT+0800 (CST)	0
Thu May 17 1990 00:00:00 GMT+0800 (CST)	1.5
Fri May 18 1990 00:00:00 GMT+0800 (CST)	2
Sat May 19 1990 00:00:00 GMT+0800 (CST)	33.5
Sun May 20 1990 00:00:00 GMT+0800 (CST)	0
Mon May 21 1990 00:00:00 GMT+0800 (CST)	0
Tue May 22 1990 00:00:00 GMT+0800 (CST)	0
Wed May 23 1990 00:00:00 GMT+0800 (CST)	0
Thu May 24 1990 00:00:00 GMT+0800 (CST)	1.5
Fri May 25 1990 00:00:00 GMT+0800 (CST)	0
Sat May 26 1990 00:00:00 GMT+0800 (CST)	0
Sun May 27 1990 00:00:00 GMT+0800 (CST)	0
Mon May 28 1990 00:00:00 GMT+0800 (CST)	0
Tue May 29 1990 00:00:00 GMT+0800 (CST)	0
Wed May 30 1990 00:00:00 GMT+0800 (CST)	0
Thu May 31 1990 00:00:00 GMT+0800 (CST)	0
Fri Jun 01 1990 00:00:00 GMT+0800 (CST)	0
Sat Jun 02 1990 00:00:00 GMT+0800 (CST)	0
Sun Jun 03 1990 00:00:00 GMT+0800 (CST)	60
