date	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
1	1.8	-	4	1.7	0	2.6	2.2	3.6	2.9	2.2	2.8	1.9	3.5	0.6	1.9	2.7	3.2	2.5	1.8	3.4	1	2.2	3.1	0.6	0.8
2	4.6	-	1.3	3.1	0.1	1.4	2.1	2.4	2.3	2.2	2.3	1.7	4.3	0.3	3.3	1.7	2.6	2.4	1.8	2	1	1.7	1.7	0.7	0.5
3	3.1	-	1.3	2.5	0.2	1.9	2.4	1.6	1.6	1.3	2.2	2.1	2.4	1.2	1.9	1.1	2.3	2.7	0.1	1.6	0.7	1.3	3	1.6	0.2
4	8.7	-	4	3.1	0.1	1.2	1.7	0.2	3.1	2.1	1.4	2.1	2.3	1.3	2.4	1	2.2	3.2	0.1	1.3	0.8	1.7	5.6	1.4	0.6
5	9.8	-	3.3	2.3	0.1	2.5	2.5	2.4	3.6	2	2	0.7	3.4	3.9	2.8	1.5	3.7	2.7	0	1.8	2.7	2.7	0	2.8	0
6	8	-	1	2.7	0.4	2.3	3.3	3	1.9	1.8	2.2	1.5	2.2	0.8	2.8	2.9	0.8	2.5	0.2	0.2	0.5	3.5	1.1	2.4	0.3
7	1.2	-	1.8	2.3	0	1.4	2	1.2	2.1	1.9	2.7	1.4	3.3	0.4	2.5	2.7	1.2	2.8	0.1	0	0.4	1.5	2.1	2.8	0.3
8	5.8	-	3.1	1.5	0.4	2.4	3.4	1.7	2.5	1.7	2.3	1.7	2	0	0.7	2.5	1.2	3	0.2	0	0.1	2.2	2.8	1.1	0.1
9	5.9	-	4	2.4	0	2.3	1.3	2.9	1.5	1.1	1.8	3.1	1.7	0.8	4.8	1.7	2.5	2.4	0.2	0	2.7	2.4	-	1	0.3
10	9.7	-	4.4	2.5	0.2	2.7	2	2.6	2.1	2	2	1.9	1.9	0	1.3	1.9	1.4	2.3	0.1	0	3.1	1.5	-	1.9	1.1
11	7.3	-	8.1	2.7	0.1	1.9	1.3	4.2	3.4	2	2.5	1.8	2.2	0	0.4	1.1	1.8	2.3	0.3	0	1.9	1.3	2	1.3	2.1
12	8.3	-	2.5	2.1	0.3	3	2.2	1.7	3.1	1.1	3	2.2	2.4	0.7	0	2.8	2.8	3	0.1	0	1.5	0	1.5	1.8	3.5
13	6.6	-	2.7	2.3	0	1.9	2	2	1.6	0.8	2.4	2.8	2.9	0.5	1.5	0	3.1	3.3	0.3	0	2.4	0.8	0.9	1.4	3.4
14	6.9	-	2.6	0.2	0.1	2.1	2.4	1.7	1.6	2.4	2.3	2.3	1.7	0.4	0.9	1.9	2.9	2.1	0.1	0	1.3	1.3	1	2.2	2.2
