dt	solar	precp	temp_max	temp_min	evap	temp
Sat Mar 03 1990 00:00:00 GMT+0800 (CST)	3.09	4.5	16.1	13.2	0.2	14.5
Sun Mar 04 1990 00:00:00 GMT+0800 (CST)	2.13	13.5	14.4	11.7	0	13
Mon Mar 05 1990 00:00:00 GMT+0800 (CST)	7.98	4	15.9	10.2	4.1	12.8
Tue Mar 06 1990 00:00:00 GMT+0800 (CST)	3.39	3.5	15.3	10.7	0.1	12.7
Wed Mar 07 1990 00:00:00 GMT+0800 (CST)	13.6	0	21	11.7	7	14.7
Thu Mar 08 1990 00:00:00 GMT+0800 (CST)	17.881	0	22.9	10.2	9.4	16
Fri Mar 09 1990 00:00:00 GMT+0800 (CST)	19.21	0	24.8	13.8	9.6	18.4
Sat Mar 10 1990 00:00:00 GMT+0800 (CST)	18.29	0	24.3	13.3	8.7	18.2
Sun Mar 11 1990 00:00:00 GMT+0800 (CST)	20.73	0	26.8	15.1	10	20.7
Mon Mar 12 1990 00:00:00 GMT+0800 (CST)	19.98	0	26.5	15.1	10.5	19.5
Tue Mar 13 1990 00:00:00 GMT+0800 (CST)	16.84	0	24.4	13.4	9.5	18.2
Wed Mar 14 1990 00:00:00 GMT+0800 (CST)	19.42	0	25.9	16	10.6	20.4
Thu Mar 15 1990 00:00:00 GMT+0800 (CST)	11.17	0	25.3	16.5	5	19.8
Fri Mar 16 1990 00:00:00 GMT+0800 (CST)	13.01	0	23.6	15.9	7.7	19.2
Sat Mar 17 1990 00:00:00 GMT+0800 (CST)	17.12	0	24.7	15.9	7.7	18.8
Sun Mar 18 1990 00:00:00 GMT+0800 (CST)	15.32	0.5	24	15.7	7.4	18.6
Mon Mar 19 1990 00:00:00 GMT+0800 (CST)	3.36	0	17.9	14.8	0	16
Tue Mar 20 1990 00:00:00 GMT+0800 (CST)	18.52	0	25.4	15.7	8.3	19.1
Wed Mar 21 1990 00:00:00 GMT+0800 (CST)	18.91	0	24	17.5	10	20.1
Thu Mar 22 1990 00:00:00 GMT+0800 (CST)	20.02	0	28.3	15.7	10.8	21.7
Fri Mar 23 1990 00:00:00 GMT+0800 (CST)	16.96	0	29.5	19.4	7.5	23.9
Sat Mar 24 1990 00:00:00 GMT+0800 (CST)	17.35	0	29.3	20.7	8	24.4
Sun Mar 25 1990 00:00:00 GMT+0800 (CST)	8.55	0	26.3	18	2.6	22.3
Mon Mar 26 1990 00:00:00 GMT+0800 (CST)	17.65	0	25	17.4	8.3	19.8
Tue Mar 27 1990 00:00:00 GMT+0800 (CST)	13.56	0	27	17.6	5.7	21.3
Wed Mar 28 1990 00:00:00 GMT+0800 (CST)	12.95	0	26.2	18.8	5.5	22.4
Thu Mar 29 1990 00:00:00 GMT+0800 (CST)	15.27	0	27.2	18.2	7.8	22.4
Fri Mar 30 1990 00:00:00 GMT+0800 (CST)	6.2	0	25.6	19.1	1.2	20.7
Sat Mar 31 1990 00:00:00 GMT+0800 (CST)	9.82	0.5	25.2	18.5	4.3	20.9
Sun Apr 01 1990 00:00:00 GMT+0800 (CST)	3.46	7	23.4	19.4	0.2	20.6
Mon Apr 02 1990 00:00:00 GMT+0800 (CST)	5.51	0	23.8	17.9	1.6	20.8
Tue Apr 03 1990 00:00:00 GMT+0800 (CST)	13.68	0	28.7	18.4	6.3	23.1
Wed Apr 04 1990 00:00:00 GMT+0800 (CST)	16.5	0	23.9	16.7	6.7	20.1
Thu Apr 05 1990 00:00:00 GMT+0800 (CST)	10.02	0	22.7	15.5	1.8	18
Fri Apr 06 1990 00:00:00 GMT+0800 (CST)	16.59	0	25	16.9	8.2	19.9
Sat Apr 07 1990 00:00:00 GMT+0800 (CST)	11.37	0	27	16.3	5.5	21.1
Sun Apr 08 1990 00:00:00 GMT+0800 (CST)	8.5	0	23.1	17.2	1.5	20.4
Mon Apr 09 1990 00:00:00 GMT+0800 (CST)	17.18	0	27.7	16.8	8.4	21.7
Tue Apr 10 1990 00:00:00 GMT+0800 (CST)	10.3	17	29.4	19.5	3	23.1
Wed Apr 11 1990 00:00:00 GMT+0800 (CST)	11.93	9.5	28.7	20.5	5.2	24.1
Thu Apr 12 1990 00:00:00 GMT+0800 (CST)	6.69	64.5	27.1	17.9	1.2	22.1
Fri Apr 13 1990 00:00:00 GMT+0800 (CST)	17.22	0	27.1	16.3	7.8	21
Sat Apr 14 1990 00:00:00 GMT+0800 (CST)	5.69	1.5	23.8	18.6	1	20.7
Sun Apr 15 1990 00:00:00 GMT+0800 (CST)	3.57	22.5	22.6	18.4	0.1	19.7
Mon Apr 16 1990 00:00:00 GMT+0800 (CST)	5.14	98	24	18.1	0.6	20
Tue Apr 17 1990 00:00:00 GMT+0800 (CST)	9.63	31.5	22.8	16.3	3.4	19.1
Wed Apr 18 1990 00:00:00 GMT+0800 (CST)	6.14	20	22.4	17.7	0.5	19.6
Thu Apr 19 1990 00:00:00 GMT+0800 (CST)	2.73	130.5	23.6	19.4	0.1	21.1
Fri Apr 20 1990 00:00:00 GMT+0800 (CST)	2.79	12	23.4	20.7	0	22
Sat Apr 21 1990 00:00:00 GMT+0800 (CST)	6.79	2	29.2	20.5	1	24.2
Sun Apr 22 1990 00:00:00 GMT+0800 (CST)	3.65	11.5	28.8	22.6	0.4	25.6
Mon Apr 23 1990 00:00:00 GMT+0800 (CST)	7.3	40	25.7	17.8	1.8	21.8
Tue Apr 24 1990 00:00:00 GMT+0800 (CST)	2.46	43.5	19.3	16.1	0	17.8
Wed Apr 25 1990 00:00:00 GMT+0800 (CST)	10.95	1	25.8	18.5	1.4	21.2
Thu Apr 26 1990 00:00:00 GMT+0800 (CST)	4.35	11	23.4	19.3	0	20.5
Fri Apr 27 1990 00:00:00 GMT+0800 (CST)	17.28	0	27.7	19.4	5.9	22.8
Sat Apr 28 1990 00:00:00 GMT+0800 (CST)	14.66	0	27.7	20.8	4.4	23.7
Sun Apr 29 1990 00:00:00 GMT+0800 (CST)	16.14	0	29.3	20.7	4.7	24.5
Mon Apr 30 1990 00:00:00 GMT+0800 (CST)	20.16	0	29.9	21.4	6.5	25
Tue May 01 1990 00:00:00 GMT+0800 (CST)	17	0	29.6	20.3	-	24.9
Wed May 02 1990 00:00:00 GMT+0800 (CST)	20.6	0	30.1	22	-	25.9
Thu May 03 1990 00:00:00 GMT+0800 (CST)	22.6	0	31	22.6	-	26.4
Fri May 04 1990 00:00:00 GMT+0800 (CST)	17.3	0	29.2	20.3	-	24.2
Sat May 05 1990 00:00:00 GMT+0800 (CST)	3	5	21	19.3	-	20.1
Sun May 06 1990 00:00:00 GMT+0800 (CST)	18.6	0	28.2	20.3	-	24
Mon May 07 1990 00:00:00 GMT+0800 (CST)	21.4	0	29.9	21.1	-	24.7
Tue May 08 1990 00:00:00 GMT+0800 (CST)	19.6	0	29.4	20.8	-	24.6
Wed May 09 1990 00:00:00 GMT+0800 (CST)	7.6	0	27.7	21.5	-	24
Thu May 10 1990 00:00:00 GMT+0800 (CST)	14.2	0	29.6	21.8	-	24.9
Fri May 11 1990 00:00:00 GMT+0800 (CST)	7.9	0.5	27.5	22.1	-	24.7
Sat May 12 1990 00:00:00 GMT+0800 (CST)	8.9	0	28.9	22.5	-	25.2
Sun May 13 1990 00:00:00 GMT+0800 (CST)	15.7	0	31.1	22.5	-	26.2
Mon May 14 1990 00:00:00 GMT+0800 (CST)	20.3	0	31	21.7	-	25.9
Tue May 15 1990 00:00:00 GMT+0800 (CST)	18.7	0	31.5	22.4	-	26.5
Wed May 16 1990 00:00:00 GMT+0800 (CST)	18	0	30.8	22.5	-	26.4
